"product_id","product_title","product_subtitle","product_px"
"1347259","Project Rock HeatGear® Armour","Men’s  Tank Top","$35.00"
"3021457","UA HOVR™ SLK EVO","Men’s Sportstyle Shoes","$110.00"
"1345311","UA Vanish Seamless","Men’s ","$50.00"
"1352557","UA Storm ½ Zip","Men’s  Golf Long Sleeve Shirt","$75.00"
"1265491","UA Storm Tactical Patrol","Men’s  Tactical Pants & Sweatpants","$79.99"
"1347416","Project Rock Patch Beanie","Men’s  Headwear","$30.00"
"1292915","UA Tactical HeatGear® Over-The-Calf","Adult Sock","$10.00"
"1345322","Armour Fleece® Bar Logo","Men’s  Hoodie","$55.00"
"1346095","Project Rock ¾ Henley","Men’s  Long Sleeve Shirt","$60.00"
"1326707","UA Baseline Cotton","Men’s  Basketball Tank Top","$25.00"
"1318517","UA Truckstop 2.0 Beanie","Men’s  Headwear","$22.00"
"1326587","UA Qualifier HexDelta","Men’s  Running Short Sleeve Shirt","$40.00"
"1325632","UA Vanish Seamless ½ Zip","Men’s  Long Sleeve Shirt","$60.00"
"1347262","Project Rock Track","Men’s  Pants & Sweatpants","$100.00"
"1317341","UA Storm Daytona ½ Zip","Men’s Long Sleeve Shirt","$90.00"
"1303129","Men's UA Stellar Tactical Side-Zip Boots","Men’s  Tactical Boots","$89.99"
"1326762","UA Rival Knit","Men’s  Pants & Sweatpants","$50.00"
"1228908","UA Team Coaches Short","Men’s  Shorts","$34.99"
"1329336","UA Run No Show Tab – 2-Pack","Running Sock","$18.00"
"1346098","Project Rock Iron Paradise","Men’s  Graphic T-Shirt","$40.00"
"1282140","UA Chino Adjustable Cap","Men’s  Headwear","$19.99"
"3022025","UA HOVR™ Rise","Men’s Training Shoes","$100.00"
"1346069","Project Rock Wreak Havoc","Men’s  Tank Top","$35.00"
"1298736","UA Charged Cotton® 2.0 Quarter - 6-Pack","Adult Socks","$20.00"
"3022193","UA Spotlight Suede MC","Men’s Football Cleats","$110.00"
"1350785","UA Hunt Armour Fleece®","Men’s  Hunting Hoodie","$55.00"
"1305487","UA Webbing Belt 2.0","Men’s  Golf Belt","$20.00"
"1326770","ArmourVent® Mesh Series 6"" Boxerjock®","Men’s  Underwear","$30.00"
"1326576","UA Launch SW 2-in-1","Men’s  Running Shorts","$45.00"
"3021950","UA Charged Impulse","Men’s Running Shoes","$75.00"
"3000305","UA Speedfit 2.0","Men’s  Hiking Boots","$130.00"
"1316276","UA Specialist Henley 2.0","Men’s  Hunting Long Sleeve Shirt","$80.00"
"1320738","UA Rival Fleece Crew","Men’s Long Sleeve Shirt","$40.00"
"GC","UA eGift Card",NA,"$25.00"
"3021947","UA Charged Bandit 5","Men’s Running Shoes","$80.00"
"1262064","UA Fat Tire GORE-TEX®","Men’s  Hiking Boots","$199.99"
"3020613","UA SC 3ZER0 II","Men’s  Basketball Shoes","$100.00"
"1329582","UA Team Issue Wordmark","Men’s  Graphic T-Shirt","$25.00"
"1249657","UA Charged Wool Boot Socks - 2-Pack","Sock","$25.00"
"1348645","UA Adapt","Men’s  Tactical Pants & Sweatpants","$80.00"
"1300082","UA Storm ColdGear® Reactor","Men’s  Glove","$39.99"
"1323105","UA Freedom Tech™ Terry","Men’s  Tactical Hoodie","$55.00"
"1326575","UA Launch SW 9''","Men’s  Running Shorts","$35.00"
"1327641","UA RUSH™","Men’s  Short Sleeve Shirt","$50.00"
"1345769","UA Sportstyle Essential","Men’s  Short Sleeve Shirt","$30.00"
"1276990","UA Performance Headband","Men’s Headwear","$5.99"
"1264790","UA Soccer Solid Over-The-Calf","Adult Sock","$10.00"
"1342739","UA Armour Insulated","Men’s  Jackets & Vests","$120.00"
"1328654","UA Vanish Woven","Men’s  Shorts","$45.00"
"1329297","UA Sportstyle Wind","Men’s  Jackets & Vests","$60.00"
"1350762","UA True Wireless Flash","Headphones","$169.00"
"1329519","UA Recover Sleepwear","Men’s  Pants & Sweatpants","$65.00"
"1345586","UA Performance Originators Fleece","Men’s  Hoodie","$65.00"
"1306461","UA Sportstyle Elite Cargo","Men’s  Pants & Sweatpants","$89.99"
"1348013","UA Performance Tech Crew – 6-Pack","Adult Sock","$22.00"
"1333369","UA Freedom Flag","Men’s  Tactical Long Sleeve Shirt","$30.00"
"3020788","UA Project Rock 1","Men’s Training Shoes","$120.00"
"1306326","UA Showdown Chino Tapered","Men’s  Golf Pants & Sweatpants","$85.00"
"1329518","UA Recover Sleepwear","Men’s  Long Sleeve Shirt","$65.00"
"1320122","UA Sportstyle Woven","Men’s  Pants & Sweatpants","$45.00"
"1345298","HeatGear® Armour 2.0 Printed","Men’s  Leggings","$40.00"
"1356424","*Ships By December* UA True Wireless Flash Project Rock","Headphones","Coming Soon!"
"1306433","UA MK-1","Men’s  Tank Top","$30.00"
"3021253","UA Charged Europa 2","Men’s Running Shoes","$90.00"
"1326595","UA Qualifier ½ Zip","Men’s  Running Long Sleeve Shirt","$65.00"
"1317366","ColdGear® Infrared Showdown","Men’s  Golf Pants & Sweatpants","$95.00"
"1282435","UA Resistor III Crew - 6-Pack","Adult Sock","$22.00"
"1318532","UA Camo Stretch Fit Cap","Men’s  Hunting Headwear","$30.00"
"1282023","UA Performance Crew - 3-Pack","Adult Sock","$20.00"
"1321238","UA Storm Fleece","Men’s  Headwear","$30.00"
"1300472","UA Camo 2.0 Cap","Men’s  Hunting Headwear","$24.99"
"1330607","UA Tactical Friend Or Foe 2.0 Cap","Men’s  Tactical Headwear","$25.00"
"1333366","UA Freedom Express","Men’s  Tactical Graphic T-Shirt","$25.00"
"1345299","ColdGear® Armour Fitted Mock","Men’s  Long Sleeve Shirt","$55.00"
"1344228","UA Wordmark Sleeve","Men’s  Long Sleeve Shirt","$30.00"
"1346096","Project Rock Graphic Respect","Men’s  Graphic T-Shirt","$35.00"
"1345309","UA Vanish Seamless","Men’s  Short Sleeve Shirt","$40.00"
